route_number,stop_code,stop_order
3, PEREEZD, 1
3, SHKOLA5A, 2
3, VOKZAL1, 3
3, MYASOKA, 4
3, SELHTEH, 5
3, POTREBB, 6
3, POCHTA5, 7
3, ZHENMONB, 8
3, STADIONB, 9
3, ZAVOD1A, 10
3, YUBIL1A, 11
3, TEHNIKB, 12
3, GIMNAZA, 13
3, TSRB01C, 14
3, BIBLIOB, 15
3, STADIONA, 16
3, ZHENMONA, 17
3, POCHTA5B, 18
3, POTREBA, 19
3, SELHTEB, 20
3, MYASOKB, 21
3, VOKZAL1, 22
3, SHKOLA5B, 23
3, PEREEZB, 24
